# Position data for LJ Ar in 256 atom cell		

256 atoms		
1 atom types				

##CUBIC CELL

0.0 6.1984 xlo xhi
0.0 6.1984 ylo yhi
0.0 6.1984 zlo zhi

Masses

1 1.0

Atoms				

1	1	0	0	0
2	1	0.7748	0.7748	0
3	1	0.7748	0	0.7748
4	1	0	0.7748	0.7748
5	1	0	0	1.5496
6	1	0.7748	0.7748	1.5496
7	1	0.7748	0	2.3244
8	1	0	0.7748	2.3244
9	1	0	0	3.0992
10	1	0.7748	0.7748	3.0992
11	1	0.7748	0	3.874
12	1	0	0.7748	3.874
13	1	0	0	4.6488
14	1	0.7748	0.7748	4.6488
15	1	0.7748	0	5.4236
16	1	0	0.7748	5.4236
17	1	0	1.5496	0
18	1	0.7748	2.3244	0
19	1	0.7748	1.5496	0.7748
20	1	0	2.3244	0.7748
21	1	0	1.5496	1.5496
22	1	0.7748	2.3244	1.5496
23	1	0.7748	1.5496	2.3244
24	1	0	2.3244	2.3244
25	1	0	1.5496	3.0992
26	1	0.7748	2.3244	3.0992
27	1	0.7748	1.5496	3.874
28	1	0	2.3244	3.874
29	1	0	1.5496	4.6488
30	1	0.7748	2.3244	4.6488
31	1	0.7748	1.5496	5.4236
32	1	0	2.3244	5.4236
33	1	0	3.0992	0
34	1	0.7748	3.874	0
35	1	0.7748	3.0992	0.7748
36	1	0	3.874	0.7748
37	1	0	3.0992	1.5496
38	1	0.7748	3.874	1.5496
39	1	0.7748	3.0992	2.3244
40	1	0	3.874	2.3244
41	1	0	3.0992	3.0992
42	1	0.7748	3.874	3.0992
43	1	0.7748	3.0992	3.874
44	1	0	3.874	3.874
45	1	0	3.0992	4.6488
46	1	0.7748	3.874	4.6488
47	1	0.7748	3.0992	5.4236
48	1	0	3.874	5.4236
49	1	0	4.6488	0
50	1	0.7748	5.4236	0
51	1	0.7748	4.6488	0.7748
52	1	0	5.4236	0.7748
53	1	0	4.6488	1.5496
54	1	0.7748	5.4236	1.5496
55	1	0.7748	4.6488	2.3244
56	1	0	5.4236	2.3244
57	1	0	4.6488	3.0992
58	1	0.7748	5.4236	3.0992
59	1	0.7748	4.6488	3.874
60	1	0	5.4236	3.874
61	1	0	4.6488	4.6488
62	1	0.7748	5.4236	4.6488
63	1	0.7748	4.6488	5.4236
64	1	0	5.4236	5.4236
65	1	1.5496	0	0
66	1	2.3244	0.7748	0
67	1	2.3244	0	0.7748
68	1	1.5496	0.7748	0.7748
69	1	1.5496	0	1.5496
70	1	2.3244	0.7748	1.5496
71	1	2.3244	0	2.3244
72	1	1.5496	0.7748	2.3244
73	1	1.5496	0	3.0992
74	1	2.3244	0.7748	3.0992
75	1	2.3244	0	3.874
76	1	1.5496	0.7748	3.874
77	1	1.5496	0	4.6488
78	1	2.3244	0.7748	4.6488
79	1	2.3244	0	5.4236
80	1	1.5496	0.7748	5.4236
81	1	1.5496	1.5496	0
82	1	2.3244	2.3244	0
83	1	2.3244	1.5496	0.7748
84	1	1.5496	2.3244	0.7748
85	1	1.5496	1.5496	1.5496
86	1	2.3244	2.3244	1.5496
87	1	2.3244	1.5496	2.3244
88	1	1.5496	2.3244	2.3244
89	1	1.5496	1.5496	3.0992
90	1	2.3244	2.3244	3.0992
91	1	2.3244	1.5496	3.874
92	1	1.5496	2.3244	3.874
93	1	1.5496	1.5496	4.6488
94	1	2.3244	2.3244	4.6488
95	1	2.3244	1.5496	5.4236
96	1	1.5496	2.3244	5.4236
97	1	1.5496	3.0992	0
98	1	2.3244	3.874	0
99	1	2.3244	3.0992	0.7748
100	1	1.5496	3.874	0.7748
101	1	1.5496	3.0992	1.5496
102	1	2.3244	3.874	1.5496
103	1	2.3244	3.0992	2.3244
104	1	1.5496	3.874	2.3244
105	1	1.5496	3.0992	3.0992
106	1	2.3244	3.874	3.0992
107	1	2.3244	3.0992	3.874
108	1	1.5496	3.874	3.874
109	1	1.5496	3.0992	4.6488
110	1	2.3244	3.874	4.6488
111	1	2.3244	3.0992	5.4236
112	1	1.5496	3.874	5.4236
113	1	1.5496	4.6488	0
114	1	2.3244	5.4236	0
115	1	2.3244	4.6488	0.7748
116	1	1.5496	5.4236	0.7748
117	1	1.5496	4.6488	1.5496
118	1	2.3244	5.4236	1.5496
119	1	2.3244	4.6488	2.3244
120	1	1.5496	5.4236	2.3244
121	1	1.5496	4.6488	3.0992
122	1	2.3244	5.4236	3.0992
123	1	2.3244	4.6488	3.874
124	1	1.5496	5.4236	3.874
125	1	1.5496	4.6488	4.6488
126	1	2.3244	5.4236	4.6488
127	1	2.3244	4.6488	5.4236
128	1	1.5496	5.4236	5.4236
129	1	3.0992	0	0
130	1	3.874	0.7748	0
131	1	3.874	0	0.7748
132	1	3.0992	0.7748	0.7748
133	1	3.0992	0	1.5496
134	1	3.874	0.7748	1.5496
135	1	3.874	0	2.3244
136	1	3.0992	0.7748	2.3244
137	1	3.0992	0	3.0992
138	1	3.874	0.7748	3.0992
139	1	3.874	0	3.874
140	1	3.0992	0.7748	3.874
141	1	3.0992	0	4.6488
142	1	3.874	0.7748	4.6488
143	1	3.874	0	5.4236
144	1	3.0992	0.7748	5.4236
145	1	3.0992	1.5496	0
146	1	3.874	2.3244	0
147	1	3.874	1.5496	0.7748
148	1	3.0992	2.3244	0.7748
149	1	3.0992	1.5496	1.5496
150	1	3.874	2.3244	1.5496
151	1	3.874	1.5496	2.3244
152	1	3.0992	2.3244	2.3244
153	1	3.0992	1.5496	3.0992
154	1	3.874	2.3244	3.0992
155	1	3.874	1.5496	3.874
156	1	3.0992	2.3244	3.874
157	1	3.0992	1.5496	4.6488
158	1	3.874	2.3244	4.6488
159	1	3.874	1.5496	5.4236
160	1	3.0992	2.3244	5.4236
161	1	3.0992	3.0992	0
162	1	3.874	3.874	0
163	1	3.874	3.0992	0.7748
164	1	3.0992	3.874	0.7748
165	1	3.0992	3.0992	1.5496
166	1	3.874	3.874	1.5496
167	1	3.874	3.0992	2.3244
168	1	3.0992	3.874	2.3244
169	1	3.0992	3.0992	3.0992
170	1	3.874	3.874	3.0992
171	1	3.874	3.0992	3.874
172	1	3.0992	3.874	3.874
173	1	3.0992	3.0992	4.6488
174	1	3.874	3.874	4.6488
175	1	3.874	3.0992	5.4236
176	1	3.0992	3.874	5.4236
177	1	3.0992	4.6488	0
178	1	3.874	5.4236	0
179	1	3.874	4.6488	0.7748
180	1	3.0992	5.4236	0.7748
181	1	3.0992	4.6488	1.5496
182	1	3.874	5.4236	1.5496
183	1	3.874	4.6488	2.3244
184	1	3.0992	5.4236	2.3244
185	1	3.0992	4.6488	3.0992
186	1	3.874	5.4236	3.0992
187	1	3.874	4.6488	3.874
188	1	3.0992	5.4236	3.874
189	1	3.0992	4.6488	4.6488
190	1	3.874	5.4236	4.6488
191	1	3.874	4.6488	5.4236
192	1	3.0992	5.4236	5.4236
193	1	4.6488	0	0
194	1	5.4236	0.7748	0
195	1	5.4236	0	0.7748
196	1	4.6488	0.7748	0.7748
197	1	4.6488	0	1.5496
198	1	5.4236	0.7748	1.5496
199	1	5.4236	0	2.3244
200	1	4.6488	0.7748	2.3244
201	1	4.6488	0	3.0992
202	1	5.4236	0.7748	3.0992
203	1	5.4236	0	3.874
204	1	4.6488	0.7748	3.874
205	1	4.6488	0	4.6488
206	1	5.4236	0.7748	4.6488
207	1	5.4236	0	5.4236
208	1	4.6488	0.7748	5.4236
209	1	4.6488	1.5496	0
210	1	5.4236	2.3244	0
211	1	5.4236	1.5496	0.7748
212	1	4.6488	2.3244	0.7748
213	1	4.6488	1.5496	1.5496
214	1	5.4236	2.3244	1.5496
215	1	5.4236	1.5496	2.3244
216	1	4.6488	2.3244	2.3244
217	1	4.6488	1.5496	3.0992
218	1	5.4236	2.3244	3.0992
219	1	5.4236	1.5496	3.874
220	1	4.6488	2.3244	3.874
221	1	4.6488	1.5496	4.6488
222	1	5.4236	2.3244	4.6488
223	1	5.4236	1.5496	5.4236
224	1	4.6488	2.3244	5.4236
225	1	4.6488	3.0992	0
226	1	5.4236	3.874	0
227	1	5.4236	3.0992	0.7748
228	1	4.6488	3.874	0.7748
229	1	4.6488	3.0992	1.5496
230	1	5.4236	3.874	1.5496
231	1	5.4236	3.0992	2.3244
232	1	4.6488	3.874	2.3244
233	1	4.6488	3.0992	3.0992
234	1	5.4236	3.874	3.0992
235	1	5.4236	3.0992	3.874
236	1	4.6488	3.874	3.874
237	1	4.6488	3.0992	4.6488
238	1	5.4236	3.874	4.6488
239	1	5.4236	3.0992	5.4236
240	1	4.6488	3.874	5.4236
